Step,AUROC,Precision,Recall,F1 score,Random Seed
2799,0.5789304123711341,0.23529411764705882,0.25,0.24242424242424243,2
5998,0.5012886597938144,0.11764705882352941,0.125,0.12121212121212122,2
6082,0.6398195876288659,0.29411764705882354,0.3125,0.30303030303030304,2
6166,0.4365335051546392,0.058823529411764705,0.0625,0.06060606060606061,2
6250,0.5193298969072165,0.17647058823529413,0.1875,0.1818181818181818,2
6334,0.4681056701030928,0.11764705882352941,0.125,0.12121212121212122,2
6418,0.6079252577319588,0.23529411764705882,0.25,0.24242424242424243,2
6502,0.47809278350515466,0.058823529411764705,0.0625,0.06060606060606061,2
6586,0.5038659793814433,0.23529411764705882,0.25,0.24242424242424243,2
6670,0.49291237113402064,0.23529411764705882,0.25,0.24242424242424243,2
